date,metric_name,value,target,status
2026-08-20,tickets_resolved,45,50,under
2026-08-21,tickets_resolved,52,50,over
2026-08-22,tickets_resolved,60,50,over
2026-08-23,tickets_resolved,48,50,under
2026-08-24,tickets_resolved,55,50,over
2026-08-25,tickets_resolved,70,50,over
2026-08-26,tickets_resolved,40,50,under
2026-08-20,avg_resolution_time_hrs,2.5,4.0,good
2026-08-21,avg_resolution_time_hrs,3.1,4.0,good
2026-08-22,avg_resolution_time_hrs,4.5,4.0,breach
2026-08-23,avg_resolution_time_hrs,2.1,4.0,good
2026-08-24,avg_resolution_time_hrs,3.8,4.0,good
2026-08-25,avg_resolution_time_hrs,5.2,4.0,breach
2026-08-26,avg_resolution_time_hrs,2.9,4.0,good
2026-08-20,server_uptime_pct,99.9,99.9,good
2026-08-21,server_uptime_pct,99.9,99.9,good
2026-08-22,server_uptime_pct,99.5,99.9,breach
2026-08-23,server_uptime_pct,100.0,99.9,good
2026-08-24,server_uptime_pct,99.9,99.9,good
2026-08-25,server_uptime_pct,99.0,99.9,breach
2026-08-26,server_uptime_pct,99.9,99.9,good
